Ecotype,Population,Genotype,Elevation,BB,BS,Ds,Ss,gsmax,SLA,LS,Ap,PHMD,PLuA,PLuF,PVD,PF,Kh,Kl,Al,As.Al,Ac,TH,LAI,SSD,SBP,SLuA,SHMD,SLuF,SVD,WP.md,WP.pd
SD,NRVNEW,NRV105,666,66,297,249944939.6,2.58E-10,0.789698911,136.1674269,1794.963113,1986070,24.7,112,0.0593,0.0005,1.709240622,0.00000127,0.000422635,7.707393758,0.000433475,3.83178125,325,2.011438873,0.41,0.315789474,1023.814784,39.1,0.249716408,0.000392066,-1.72,-0.453
SD,NRVNEW,NRV106,666,66,303,309004434.1,2.22E-10,0.901490423,130.4148653,1431.779111,643751,21.9,110.3,0.0533,0.0009,1.423349569,0.000000659,0.000422372,4.1697215,0.000440721,2.1096875,275.8333333,1.97646405,0.41,0.4,831.4197995,37.5,0.220892599,0.000318994,-1.596,-0.468
SD,NRVNEW,NRV109,666,66,297,265195817.3,2.58E-10,0.90126838,115.8453906,976.0455282,653041,17.9,66.2,0.051,0.0008,1.304964557,0.000000179,0.000154616,4.128535604,0.000444357,1.8184525,259.1666667,2.270356583,0.4,0.387387387,558.8044364,47.6,0.263317354,0.000238051,-1.666,-0.531
SD,NRVNEW,NRV110,666,66,303,256723107.5,2.36E-10,0.79219172,123.5466998,1095.800432,1364901,25.8,98.8,0.0938,0.0009,1.57208589,0.000000785,0.000324821,5.713533829,0.000387998,2.286705,340,2.498588068,0.38,0.247252747,1106.136373,43.4,0.230314668,0.000224957,-1.83,-0.53
SD,NRVNEW,NRV112,666,66,297,286377591.8,2.34E-10,0.849856613,94.48199189,1097.300394,397379,20.2,65.6,0.0678,0.001,1.019969278,0.000000295,0.000309531,9.808044045,0.000407465,2.222335,378.3333333,4.41339584,0.43,0.34057971,832.4704049,35.4,0.300820011,0.000538328,-1.524,-0.482
SD,TSZSAN,TSZ178,1219,80,290,220078637.5,2.50E-10,0.677512081,105.7900508,1644.032225,1090200,24,87,0.0476,0.0006,1.668126095,0.00000114,0.000543992,10.26756226,0.000267896,2.515925,300.8333333,4.081028751,0.4,0.242937853,636.4572894,38.5,0.239083918,0.000432639,-1.378,-0.434
SD,TSZSAN,TSZ179,1219,66,277,220714090.7,3.03E-10,0.7451795,120.1264389,1789.15401,1662826,23.3,71.2,0.0843,0.0012,1.038095238,0.000000676,0.000270657,11.49034927,0.000266373,1.67263875,226.6666667,6.869594089,0.36,0.251101322,552.6178177,43.6,0.197401032,0.000186173,-1.619,-0.408
SD,TSZSAN,TSZ180,1219,80,297,140011529.7,2.67E-10,0.468814955,130.9207689,1910.809304,1732317,23.9,72.2,0.0488,0.0007,1.424908425,0.000000505,0.000200929,10.40260074,0.00029649,3.32683,310,3.126880766,0.4,0.317757009,1060.310063,37.7,0.242191404,0.00038053,-1.534,-0.426
SD,TSZSAN,TSZ181,1219,80,297,229186800.6,3.47E-10,0.79489049,118.6700242,1836.951135,712363,24,79.1,0.1466,0.0013,1.353110667,0.00000159,0.000511893,11.79517162,0.000266943,2.726305,312.5,4.326431423,0.36,0.333333333,701.2274759,39,0.21388763,0.000305019,-1.442,-0.445
SD,TSZSAN,TSZ185,1219,80,303,198049592,3.28E-10,0.700527973,120.0292807,2551.02559,1228613,19,71.7,0.01983,0.0002,1.231501832,0.000000295,0.0001433,5.575534349,0.000255118,2.26295875,266.6666667,2.463825003,0.4,0.351111111,604.6598779,43.3,0.307107904,0.000330031,-1.333,-0.44
SD,TSZSAN,TSZ188,1219,80,297,190424153.1,2.97E-10,0.614875477,116.1154269,1372.903108,554391,25,76.8,0.07199,0.0008,1.292306249,0.000000638,0.000440992,9.734866566,0.000229334,2.23097,305.8333333,4.363512986,0.42,0.214285714,930.5417191,36.7,0.193714605,0.00032037,-1.771,-0.454
UHP,CLFLCR,CLF150,1301,103,277,153356047.7,3.60E-10,0.57742257,104.2292702,3895.671575,1948728,24.3,70.3,0.0431,0.0006,1.661940907,0.00000113,0.000286941,6.369438707,0.000233549,2.4543025,319.1666667,2.595213388,0.44,0.318584071,657.4223891,35.1,0.195686118,0.000369408,-1.342,-0.374
UHP,CLFLCR,CLF152,1301,80,277,130479731.2,3.66E-10,0.508519108,113.8706837,3734.028858,1580905,25.5,101.9,0.0444,0.0004,1.992300964,0.00000113,0.00029514,13.03830901,0.00025564,3.3178025,345.8333333,3.929802636,0.38,0.363636364,785.1797057,40.4,0.229709321,0.000349409,-1.464,-0.442
UHP,CLFLCR,CLF153,1301,103,277,178138723.9,4.17E-10,0.670017835,103.0324764,3203.482057,2067183,26,86.8,0.0315,0.0003,1.347245716,0.00000133,0.000299244,8.156104064,0.000271801,2.990065,341.6666667,2.727734703,0.48,0.350769231,982.8678601,39.6,0.170406179,0.000217028,-1.3095,-0.498
UHP,CLFLCR,CLF156,1301,103,277,143188795.9,3.82E-10,0.56470184,117.7818665,2359.841313,1487435,27.6,86.1,0.0618,0.0004,1.916070236,0.00000177,0.000553811,6.486764918,0.000257763,1.888415625,290,3.435030314,0.48,0.360215054,476.2800251,32.9,0.164517339,0.000274029,-1.635,-0.476
UHP,CLFLCR,CLF157,1301,103,297,223255903.7,3.38E-10,0.786227058,87.34896798,2595.810526,2110395,21.4,94.35,0.0293,0.0003,1.376128078,0.000000775,0.000243426,8.34873424,0.000246537,2.578038125,256.6666667,3.238406042,0.39,0.429530201,600.3651905,31,0.120053629,0.000252065,-1.348,-0.546
UHP,CLFLCR,CLF159,1301,103,277,116640971.8,5.37E-10,0.539178316,100.2859266,2316.247567,1780176,24,86.33333333,0.0341,0.0004,1.546481343,0.00000075,0.000261149,8.103089387,0.000243645,2.26551,270.8333333,3.576717555,0.46,0.35483871,686.5043585,45.4,0.220331325,0.000224172,-1.486,-0.316
UHP,JLAJAK,JLA146,1521,122,277,148060604,4.41E-10,0.621234538,90.67005523,2357.669768,1745793,26.5,136.4,0.0661,0.0005,1.579821194,0.00000188,0.000520935,6.380940489,0.000253427,3.6424,299.1666667,1.751850563,0.45,0.392857143,970.7188076,40.2,0.195135639,0.000337867,-1.52,-0.425
