Ecotype,Population,Genotype,Elevation,Ds,SA,Ss,gwmax,SPAI,SLA,LS,PF,PLA,PLA.50,PHD,PLF,PVD,Kh,Kl,Ap
UHP,CLFLCR,CLF150,1301,153356047.7,2.82E+14,3.60E-10,0.57742257,0.072879615,104.2292702,3895.671575,1.661940907,70.3,645,24.22,0.05,0.000718782,0.00000113,0.000286941,1948728
UHP,CLFLCR,CLF152,1301,130479731.2,2.87E+14,3.66E-10,0.508519108,0.091876974,113.8706837,3734.028858,1.992300964,101.9,662,25.49,0.044,0.000436068,0.00000113,0.00029514,1580905
UHP,CLFLCR,CLF153,1301,178138723.9,2.99E+14,4.17E-10,0.670017835,0.078218511,103.0324764,3203.482057,1.347245716,86.8,574,24.46,0.036,0.00041245,0.00000133,0.000299244,2067183
UHP,CLFLCR,CLF156,1301,143188795.9,3.27E+14,3.82E-10,0.56470184,0.090549656,117.7818665,2359.841313,1.916070236,86.1,653.5,24.855,0.047,0.000577425,0.00000177,0.000553811,1487435
UHP,CLFLCR,CLF157,1301,223255903.7,2.13E+14,3.38E-10,0.786227058,0.078628272,87.34896798,2595.810526,1.376128078,94.35,618,24.975,0.04,0.000424259,0.000000775,0.000243426,2110395
UHP,CLFLCR,CLF159,1301,116640971.8,2.65E+14,5.37E-10,0.539178316,0.089739073,100.2859266,2316.247567,1.546481343,86.33333333,627,24.72333333,0.043333333,0.000522433,0.00000075,0.000261149,1780176
UHP,JLAJAK,JLA143,1521,120312479.4,3.64E+14,4.63E-10,0.519255222,0.085294651,94.47314184,2635.444926,1.48775491,136.4,821,28.45,0.054,0.000393106,0.00000188,0.000520935,1745793
UHP,JLAJAK,JLA146,1521,148060604,3.46E+14,4.41E-10,0.621234538,0.102754588,90.67005523,2357.669768,1.579821194,112.8,809,26.47,0.072,0.000638526,0.00000109,0.000299362,1687200
UHP,JLAJAK,JLA148,1521,156956949.4,3.02E+14,3.85E-10,0.604812804,0.095964092,93.78312248,3110.775148,1.480665336,108,857,27.76,0.036,0.000337455,0.00000121,0.000335514,1507875
UHP,JLAJAK,JLA152,1521,135563357.1,3.50E+14,4.46E-10,0.5960838,0.085516814,100.1534441,2134.35426,1.51608048,63.7,487,21.12,0.032,0.000504015,0.000000953,0.000224664,2072057
UHP,JLAJAK,JLA155,1521,152296959,3.41E+14,4.34E-10,0.657691295,0.089880096,88.79292398,3656.698083,1.739018453,93.3,581,22.36,0.054,0.000619549,0.00000159,0.000374981,2174258
UHP,JLAJAK,JLA157,1521,182375078.8,3.22E+14,4.10E-10,0.697120787,0.092714634,96.15300696,2452.346425,1.499759803,135.7,1157,30.31,0.047,0.000350108,0.00000158,0.000471684,1264139
UHP,KKHOPI,KKH165,1940,142976978.2,2.88E+14,3.67E-10,0.537904353,0.105562971,92.17731548,3131.996317,1.636544898,89.8,664,24.23,0.117,0.001306428,0.00000139,0.000387282,1328641
UHP,KKHOPI,KKH167,1940,194872325.8,2.34E+14,2.99E-10,0.658560475,0.089622433,86.80425876,3889.521533,1.701374119,111.9,734,26.48,0.074,0.000665365,0.000000895,0.000327259,900598
UHP,KKHOPI,KKH171,1940,154415136.4,3.24E+14,4.12E-10,0.600551387,0.088818441,88.19063262,2605.050553,1.527090041,83.1,463,21.93,0.07,0.000837293,0.000000731,0.000299105,707857
UHP,KKHOPI,KKH172,1940,146154244.3,3.68E+14,4.69E-10,0.606166291,0.083407272,93.15541406,2781.663567,1.573721967,83.2,356,17.75,0.03,0.000363148,0.00000101,0.000411735,1820128
UHP,KKHOPI,KKH178,1940,164794206,3.09E+14,3.94E-10,0.645251588,0.100268625,92.46674023,3397.288044,1.612107106,105.5,567,24.59,0.059,0.000558113,0.000000621,0.000232065,2022803
UHP,KKHOPI,KKH181,1940,158016038.1,2.31E+14,2.95E-10,0.528558927,0.089633068,92.90191317,3642.176333,1.577182587,117.4,589,23.64,0.08,0.000682741,0.00000111,0.000290668,2162682
